# eps_needed: smallest eps (from sequence 1/500, 1/1000, ...) that proves
# ALL prime 6-nets of size v via the sub/supersolution bracket.
# Generated by find_eps.sh on doob, 2026-03-26 (v=4..60), 2026-03-27 (v=61..72, v=73..80).
#
# pattern: eps=1/8000 suffices from v=60 onward.
#
#  v    eps_needed      nets
   4    1/500              1
   5    —                  0
   6    1/500              1
   7    1/500              1
   8    1/500              2
   9    1/500              3
  10    1/500              7
  11    1/500             10
  12    1/500             22
  13    1/500             32
  14    1/500             59
  15    1/500             92
  16    1/500            153
  17    1/500            230
  18    1/500            373
  19    1/500            536
  20    1/500            820
  21    1/500           1174
  22    1/500           1735
  23    1/500           2418
  24    1/500           3442
  25    1/1000          4711
  26    1/1000          6539
  27    1/1000          8750
  28    1/1000         11854
  29    1/1000         15629
  30    1/1000         20755
  31    1/1000         26924
  32    1/1000         35070
  33    1/2000         44866
  34    1/2000         57649
  35    1/2000         72749
  36    1/2000         91995
  37    1/2000        114966
  38    1/2000        143725
  39    1/2000        177439
  40    1/2000        219402
  41    1/2000        268496
  42    1/2000        328571
  43    1/2000        398578
  44    1/4000        483170
  45    1/4000        581293
  46    1/4000        699570
  47    1/4000        835175
  48    1/4000        996468
  49    1/4000       1182607
  50    1/4000       1401622
  51    1/4000       1651488
  52    1/4000       1945387
  53    1/4000       2279167
  54    1/4000       2668297
  55    1/4000       3109939
  56    1/4000       3619603
  57    1/4000       4196607
  58    1/4000       4862665
  59    1/4000       5608787
  60    1/8000       6464974
  61    1/8000       7428133
  62    1/8000       8523556
  63    1/8000       9748741
  64    1/8000      11142291
  65    1/8000      12692741
  66    1/8000      14449523
  67    1/8000      16402234
  68    1/8000      18597312
  69    1/8000      21036300
  70    1/8000      23778320
  71    1/8000      26798812
  72    1/8000      30186590
  73    1/8000      33926502
  74    1/8000      38091396
  75    1/8000      42676406
  76    1/8000      47782118
  77    1/8000      53374432
  78    1/8000      59595319
  79    1/8000      66400484
  80    1/8000      73920746
