Generated by puffup_c on Thu Apr 30 12:24:49 PM EDT 2026
ideal commit: 5925ca94d6c30ab71f541803af7e114a4674db2c
primes data:  /home/doyle/neo/data/primes/{v}.txt

v       primes      ok          retries
 4           1           1    0
 5           0           0    0
 6           1           1    0
 7           1           1    0
 8           2           2    0
 9           3           3    0
10           7           7    0
11          10          10    0
12          22          22    0
13          32          32    0
14          59          59    0
15          92          92    0
16         153         153    0
17         230         230    0
18         373         373    0
19         536         536    0
20         820         820    0
21        1174        1174    0
22        1735        1735    0
23        2418        2418    0
24        3442        3442    0
25        4711        4711    0
26        6539        6539    0
27        8750        8750    0
28       11854       11854    0
29       15629       15629    0
30       20755       20755    0
31       26924       26924    0
32       35070       35070    0
33       44866       44866    0
34       57649       57649    0
35       72749       72749    0
36       91995       91995    0
37      114966      114966    0
38      143725      143725    0
39      177439      177439    0
40      219402      219402    0
41      268496      268496    0
42      328571      328571    0
43      398578      398578    0
44      483170      483170    0
45      581293      581293    0
46      699570      699570    0
47      835175      835175    0
48      996468      996468    0
49     1182607     1182607    0
50     1401622     1401622    1

TOTAL across v=4..50:
  8239684 primes
  8239684 ok
  1 needed retry
